race_name,category,climb_name,climb_url,length,steepness,top,km_before_finnish
tour-down-under,41.481 km/h,Ashton,location/ashton,10.0,4.3,572.0,132.0
tour-down-under,41.481 km/h,Gemmell Hill,location/gemmell-hill,4.1,3.8,239.0,48.0
tour-down-under,41.481 km/h,Windy Point,location/windy-point,3.8,5.6,311.0,124.0
tour-down-under,41.481 km/h,Willunga Hill,location/willunga-hill,3.4,7.2,370.0,23.0
tour-down-under,41.481 km/h,Willunga Hill,location/willunga-hill,3.4,7.2,370.0,0.0
tour-down-under,41.481 km/h,Tea Tree Gully Hill,location/tea-tree-gully-hill,1.9,6.2,389.0,143.0
tour-down-under,41.481 km/h,Fox Creek,location/fox-creek-road,1.6,7.7,509.0,78.0
tour-down-under,41.481 km/h,Fox Creek,location/fox-creek-road,1.6,7.7,509.0,43.0
tour-down-under,41.481 km/h,Mount Lofty,location/mount-lofty,1.6,6.5,658.0,59.0
tour-down-under,41.481 km/h,Mount Lofty,location/mount-lofty,1.6,6.5,658.0,30.0
tour-down-under,41.481 km/h,Whispering Wall,location/whispering-wall,1.4,2.5,267.0,111.0
tour-down-under,41.481 km/h,Menglers Hill,location/mengler-hill,1.0,5.2,490.0,112.0
tour-down-under,41.481 km/h,Menglers Hill,location/mengler-hill,1.0,5.2,490.0,63.0
tour-down-under,41.481 km/h,Menglers Hill,location/mengler-hill,1.0,5.2,490.0,13.0
great-ocean-road-race,40.587 km/h,Challambra Crescent,location/challambra-crescent,1.2,8.1,118.0,59.0
great-ocean-road-race,40.587 km/h,Challambra Crescent,location/challambra-crescent,1.2,8.1,118.0,42.0
great-ocean-road-race,40.587 km/h,Challambra Crescent,location/challambra-crescent,1.2,8.1,118.0,26.0
uae-tour,44.217 km/h,Jebel Jais,location/jebel-jais,19.0,5.6,1489.0,0.0
uae-tour,44.217 km/h,Jebel Hafeet,location/jebel-hafeet,10.9,6.7,1029.0,0.0
omloop-het-nieuwsblad,44.691 km/h,Elverenberg - Vossenhol,location/elverenberg,1.4,3.7,87.0,27.0
omloop-het-nieuwsblad,44.691 km/h,Hostellerie,location/hostellerie,1.2,4.3,83.0,72.0
omloop-het-nieuwsblad,44.691 km/h,Muur - Kapelmuur,location/muur-van-geraardsbergen,1.2,7.0,105.0,16.0
omloop-het-nieuwsblad,44.691 km/h,Leberg,location/leberg,1.0,4.0,95.0,163.0
omloop-het-nieuwsblad,44.691 km/h,Leberg,location/leberg,1.0,4.0,0.0,89.0
omloop-het-nieuwsblad,44.691 km/h,Leberg,location/leberg,1.0,4.0,95.0,34.0
omloop-het-nieuwsblad,44.691 km/h,Kattenberg,location/katteberg,0.9,4.0,48.0,98.0
omloop-het-nieuwsblad,44.691 km/h,Berendries,location/berendries,0.9,6.6,90.0,30.0
omloop-het-nieuwsblad,44.691 km/h,Bosberg,location/bosberg,0.8,6.2,100.0,12.0
omloop-het-nieuwsblad,44.691 km/h,Wolvenberg,location/wolvenberg,0.6,6.4,87.0,54.0
omloop-het-nieuwsblad,44.691 km/h,Valkenberg,location/valkenberg,0.5,7.4,83.0,64.0
omloop-het-nieuwsblad,44.691 km/h,Molenberg,location/molenberg,0.5,7.0,56.0,41.0
strade-bianche,40.344 km/h,,,,,,
paris-nice,38.565 km/h,La Madone d'Utelle,location/la-madone-d-utelle,15.1,5.7,1166.0,0.0
paris-nice,38.565 km/h,Col de Luens,location/col-de-luens,7.0,4.6,1057.0,111.0
paris-nice,38.565 km/h,Col des Lèques,location/col-des-leques,6.7,5.0,1145.0,128.0
paris-nice,38.565 km/h,Côte de Peille,location/cote-de-peille,6.5,6.9,646.0,41.0
paris-nice,38.565 km/h,Côte de Berre-les-Alpes,location/col-de-berre-les-alpes,6.5,5.9,598.0,58.0
paris-nice,38.565 km/h,Col de Gourdon,location/col-de-gourdon,6.3,4.2,745.0,58.0
paris-nice,38.565 km/h,Côte de Levens,location/cote-de-levens,6.1,5.8,470.0,88.0
paris-nice,38.565 km/h,Côte de Châteauneuf,location/cote-de-chateauneuf,5.5,4.5,622.0,72.0
paris-nice,38.565 km/h,Col de Peyruergue,location/col-de-peyruergue,5.4,4.5,787.0,75.0
paris-nice,38.565 km/h,Col du Fût d'Avenas - Les Chappes,location/col-du-fut-d-avenas,5.2,7.2,682.0,22.0
paris-nice,38.565 km/h,Côte de Gattières,location/cote-de-gattieres,4.6,4.7,261.0,94.0
paris-nice,38.565 km/h,Col de Boubon,location/col-de-boubon,4.5,6.1,644.0,94.0
paris-nice,38.565 km/h,Col des Quatre-Chemins,location/col-des-quatre-chemins,3.8,8.1,328.0,9.0
paris-nice,38.565 km/h,Côte de Vauxrenard,location/cote-de-vauxrenard,3.2,6.7,524.0,79.0
paris-nice,38.565 km/h,Côte du Mont-Saint-Vincent ,location/cote-du-mont-saint-vincent,3.1,6.4,594.0,150.0
paris-nice,38.565 km/h,Mont Brouilly,location/mont-brouilly,3.0,7.6,475.0,0.0
paris-nice,38.565 km/h,Mont Brouilly,location/mont-brouilly,3.0,7.6,475.0,39.0
paris-nice,38.565 km/h,Côte de la Blachette,location/cote-de-la-blachette,2.9,5.2,1101.0,106.0
paris-nice,38.565 km/h,Col de la Pigière,location/col-de-la-pigiere,2.7,4.6,968.0,47.0
paris-nice,38.565 km/h,Col de la Sausse,location/col-de-la-sausse,2.7,5.1,790.0,111.0
paris-nice,38.565 km/h,Côte d'Herbeville,location/cote-d-herbeville,2.6,5.0,175.0,12.0
paris-nice,38.565 km/h,Côte d'Herbeville,location/cote-d-herbeville,2.6,5.0,175.0,67.0
paris-nice,38.565 km/h,Col de Durbize,location/col-de-durbize,2.3,8.6,537.0,56.0
paris-nice,38.565 km/h,Côte de La Rochette-du-Buis,location/cote-de-la-rochette-du-buis,2.3,5.4,739.0,65.0
paris-nice,38.565 km/h,Côte de La Colle-sur-Loup,location/cote-de-la-colle-sur-loup,1.8,10.1,269.0,28.0
paris-nice,38.565 km/h,Côte de Bazemont,location/cote-de-bazemont,1.8,6.5,154.0,147.0
paris-nice,38.565 km/h,Côte de Bazemont,location/cote-de-bazemont,1.8,6.5,154.0,38.0
paris-nice,38.565 km/h,Côte des Mesnuls,location/cote-des-mesnuls,1.2,5.0,179.0,165.0
paris-nice,38.565 km/h,Côte de Villeconin,location/cote-de-villeconin,0.8,7.0,146.0,111.0
tirreno-adriatico,47.179 km/h,Valico di Castelluccio,location/valico-di-castelluccio,17.2,5.0,1510.0,138.0
tirreno-adriatico,47.179 km/h,San Giacomo,location/san-giacomo,11.9,6.2,1156.0,24.0
tirreno-adriatico,47.179 km/h,Castellina Marittima,location/castellina-marittima,11.8,3.0,379.0,103.0
tirreno-adriatico,47.179 km/h,Monte Petrano,location/monte-petrano,10.2,7.9,1091.0,0.0
tirreno-adriatico,47.179 km/h,Castellalto,location/castellalto,7.7,4.5,462.0,89.0
tirreno-adriatico,47.179 km/h,La Forchetta,location/la-forchetta,7.2,4.5,776.0,113.0
tirreno-adriatico,47.179 km/h,Casacastalda,location/casacastalda,7.0,3.2,516.0,16.0
tirreno-adriatico,47.179 km/h,Montedinove,location/montedinove,3.9,5.2,508.0,111.0
tirreno-adriatico,47.179 km/h,Moria,location/moria,2.4,8.6,592.0,26.0
milano-sanremo,46.11 km/h,Cipressa,location/cipressa,5.6,4.0,237.0,22.0
milano-sanremo,46.11 km/h,Poggio di San Remo,location/poggio-di-san-remo,3.6,3.7,164.0,6.0
milano-sanremo,46.11 km/h,Passo del Turchino,location/passo-del-turchino,2.4,5.8,549.0,150.0
milano-sanremo,46.11 km/h,Capo Melo,location/capo-mele,2.0,3.6,75.0,52.0
milano-sanremo,46.11 km/h,Capo Berta,location/capo-berta,1.7,7.0,125.0,39.0
milano-sanremo,46.11 km/h,Capo Cervo,location/capo-cervo,1.3,3.7,58.0,47.0
volta-a-catalunya,44.62 km/h,Port de Cantó,location/port-del-canto,25.5,4.2,1717.0,44.0
volta-a-catalunya,44.62 km/h,Port Ainé,location/port-aine,18.4,6.7,1967.0,0.0
volta-a-catalunya,44.62 km/h,Coll de Pradell,location/coll-de-pradell,14.6,7.0,1730.0,60.0
volta-a-catalunya,44.62 km/h,Coll de la Batallola,location/coll-de-la-batallola,11.6,3.2,1195.0,125.0
volta-a-catalunya,44.62 km/h,Vallter,location/vallter-2000,11.4,7.4,2146.0,0.0
volta-a-catalunya,44.62 km/h,Collet de Cal Ros,location/collet-de-cal-ros,10.1,4.2,1402.0,98.0
volta-a-catalunya,44.62 km/h,Coll de Coubet,location/coll-de-coubet,9.6,5.2,970.0,48.0
volta-a-catalunya,44.62 km/h,Alt de Sant Grau,location/alt-de-sant-grau,8.1,4.0,470.0,20.0
volta-a-catalunya,44.62 km/h,Coll de Les Ventoses,location/alt-de-les-ventoses,7.8,4.4,558.0,102.0
volta-a-catalunya,44.62 km/h,Alt de la Creu d'Aragall,location/alt-de-la-creu-d-aragall,6.4,5.9,511.0,30.0
volta-a-catalunya,44.62 km/h,Queralt,location/santuari-de-la-mare-de-deu-de-queralt,6.0,7.3,1119.0,0.0
volta-a-catalunya,44.62 km/h,Coll de la Creu d'Ordal,location/coll-de-la-creu-d-ordal,5.7,4.6,485.0,109.0
volta-a-catalunya,44.62 km/h,Alt dels Àngels,location/alt-de-els-angels,5.5,5.8,462.0,119.0
volta-a-catalunya,44.62 km/h,Collada de Sant Isidre,location/collada-de-sant-isidre,5.0,8.6,1110.0,27.0
volta-a-catalunya,44.62 km/h,Port de Toses,location/port-de-la-collada-de-toses,4.0,9.0,1775.0,135.0
volta-a-catalunya,44.62 km/h,Port d'Àger,location/port-d-ager,3.9,6.7,900.0,96.0
volta-a-catalunya,44.62 km/h,Alt de la Ganga,location/alt-de-la-ganga,3.5,4.2,210.0,144.0
volta-a-catalunya,44.62 km/h,Alt del Castell de Montjuïc,location/montjuic,2.5,4.8,164.0,45.0
volta-a-catalunya,44.62 km/h,Alt del Castell de Montjuïc,location/montjuic,2.5,4.8,164.0,37.0
volta-a-catalunya,44.62 km/h,Alt del Castell de Montjuïc,location/montjuic,2.5,4.8,164.0,29.0
volta-a-catalunya,44.62 km/h,Alt del Castell de Montjuïc,location/montjuic,2.5,4.8,164.0,21.0
volta-a-catalunya,44.62 km/h,Alt del Castell de Montjuïc,location/montjuic,2.5,4.8,164.0,13.0
volta-a-catalunya,44.62 km/h,Alt del Castell de Montjuïc,location/montjuic,2.5,4.8,164.0,6.0
classic-brugge-de-panne,45.486 km/h,,,,,,
e3-harelbeke,44.571 km/h,Oude Kwaremont,location/oude-kwaremont,2.1,4.2,101.0,39.0
e3-harelbeke,44.571 km/h,La Houppe,location/la-houppe,1.9,5.1,150.0,117.0
e3-harelbeke,44.571 km/h,E3 Col - Karnemelkbeekstraat,location/karnemelkbeekstraat,1.5,5.5,127.0,32.0
e3-harelbeke,44.571 km/h,Berg Ten Stene,location/berg-ten-stene,1.3,4.6,92.0,72.0
e3-harelbeke,44.571 km/h,Hotondberg,location/hotondberg,1.2,4.0,0.0,92.0
e3-harelbeke,44.571 km/h,Knokteberg,location/knokteberg-trieu,1.2,7.2,115.0,96.0
e3-harelbeke,44.571 km/h,Ellestraat,location/ellestraat,1.1,5.4,88.0,62.0
e3-harelbeke,44.571 km/h,Boigneberg,location/boigneberg,1.0,5.1,81.0,67.0
e3-harelbeke,44.571 km/h,Kanarieberg,location/kanarieberg,1.0,7.9,133.0,112.0
e3-harelbeke,44.571 km/h,Katteberg,location/katteberg,1.0,4.4,55.0,177.0
e3-harelbeke,44.571 km/h,Kortekeer,location/kortekeer,0.9,6.6,83.0,85.0
e3-harelbeke,44.571 km/h,Oude Kruisberg,location/oude-kruisberg,0.9,5.3,92.0,104.0
e3-harelbeke,44.571 km/h,Kapelberg,location/kapelberg,0.8,5.2,79.0,47.0
e3-harelbeke,44.571 km/h,Tiegemberg,location/tiegemberg,0.8,5.0,75.0,21.0
e3-harelbeke,44.571 km/h,Stationberg,location/stationsberg,0.7,4.2,60.0,58.0
e3-harelbeke,44.571 km/h,Taaienberg,location/taaienberg,0.6,6.8,78.0,81.0
e3-harelbeke,44.571 km/h,Paterberg,location/paterberg,0.4,10.3,68.0,44.0
gent-wevelgem,45.196 km/h,Scherpenberg,location/scherpenberg,2.1,2.1,89.0,97.0
gent-wevelgem,45.196 km/h,Scherpenberg,location/scherpenberg,2.1,2.1,89.0,44.0
gent-wevelgem,45.196 km/h,Baneberg,location/baneberg,1.0,6.4,132.0,92.0
gent-wevelgem,45.196 km/h,Baneberg,location/baneberg,1.0,6.4,132.0,40.0
gent-wevelgem,45.196 km/h,Monteberg,location/monteberg,0.9,5.2,97.0,86.0
gent-wevelgem,45.196 km/h,Monteberg,location/monteberg,0.9,5.2,97.0,54.0
gent-wevelgem,45.196 km/h,Kemmelberg (Ossuaire),location/kemmelberg,0.7,11.4,155.0,34.0
gent-wevelgem,45.196 km/h,Kemmelberg (Belvedère),location/kemmelberg,0.4,7.4,138.0,84.0
gent-wevelgem,45.196 km/h,Kemmelberg (Belvedère),location/kemmelberg,0.4,7.4,138.0,52.0
dwars-door-vlaanderen,45.678 km/h,Hellestraat,location/hellestraat,1.5,3.5,77.0,137.0
dwars-door-vlaanderen,45.678 km/h,Kanarieberg,location/kanarieberg,1.2,8.3,151.0,66.0
dwars-door-vlaanderen,45.678 km/h,Ladeuze,location/ladeuze,1.2,5.4,81.0,38.0
dwars-door-vlaanderen,45.678 km/h,Knokteberg - Trieu,location/knokteberg-trieu,1.1,7.6,113.0,93.0
dwars-door-vlaanderen,45.678 km/h,Knokteberg - Trieu,location/knokteberg-trieu,1.1,7.6,113.0,53.0
dwars-door-vlaanderen,45.678 km/h,Volkegemberg,location/volkegemberg,1.0,4.5,80.0,117.0
dwars-door-vlaanderen,45.678 km/h,Berg Ten Houte,location/berg-ten-houte,1.0,5.7,108.0,72.0
dwars-door-vlaanderen,45.678 km/h,Kortekeer,location/kortekeer,0.9,6.6,81.0,85.0
dwars-door-vlaanderen,45.678 km/h,Hotond,location/hotondberg,0.8,5.2,156.0,101.0
dwars-door-vlaanderen,45.678 km/h,Hotond,location/hotondberg,0.8,5.2,156.0,49.0
dwars-door-vlaanderen,45.678 km/h,Nokere,location/nokereberg,0.8,4.1,53.0,9.0
dwars-door-vlaanderen,45.678 km/h,Nokereberg,location/nokereberg,0.4,3.9,54.0,22.0
ronde-van-vlaanderen,44.481 km/h,Nieuwe Kruisberg/Hotond,location/kruisberg-hotond,2.7,4.1,158.0,64.0
ronde-van-vlaanderen,44.481 km/h,Oude Kwaremont,location/oude-kwaremont,2.6,3.5,102.0,134.0
ronde-van-vlaanderen,44.481 km/h,Oude Kwaremont,location/oude-kwaremont,2.6,3.5,102.0,17.0
ronde-van-vlaanderen,44.481 km/h,Oude Kwaremont,location/oude-kwaremont,2.6,3.5,102.0,54.0
ronde-van-vlaanderen,44.481 km/h,Oude Kruisberg/Hotond,location/kruisberg-hotond,2.5,4.2,158.0,26.0
ronde-van-vlaanderen,44.481 km/h,Marlboroughstraat,location/marlboroughstraat,1.8,3.1,99.0,95.0
ronde-van-vlaanderen,44.481 km/h,Steenbeekdries,location/steenbeekdries,1.1,2.5,59.0,39.0
ronde-van-vlaanderen,44.481 km/h,Berg Ten Houte,location/berg-ten-houte,1.1,5.7,112.0,74.0
ronde-van-vlaanderen,44.481 km/h,Kapelleberg,location/kapelleberg,0.9,6.3,90.0,115.0
ronde-van-vlaanderen,44.481 km/h,Berendries,location/berendries,0.9,6.4,90.0,91.0
ronde-van-vlaanderen,44.481 km/h,Valkenberg,location/valkenberg,0.6,6.9,89.0,86.0
ronde-van-vlaanderen,44.481 km/h,Koppenberg,location/koppenberg,0.6,9.7,69.0,45.0
ronde-van-vlaanderen,44.481 km/h,Wolvenberg,location/wolvenberg,0.6,6.5,68.0,112.0
ronde-van-vlaanderen,44.481 km/h,Taaienberg,location/taaienberg,0.5,8.0,77.0,37.0
ronde-van-vlaanderen,44.481 km/h,Paterberg,location/paterberg,0.4,9.5,66.0,51.0
ronde-van-vlaanderen,44.481 km/h,Molenberg,location/molenberg,0.4,7.1,55.0,99.0
ronde-van-vlaanderen,44.481 km/h,Paterberg,location/paterberg,0.4,9.7,66.0,13.0
itzulia-basque-country,38.063 km/h,Usategieta Gaina,location/alto-de-usategieta,10.8,3.5,696.0,131.0
itzulia-basque-country,38.063 km/h,Gorla,location/alto-de-elosua,9.6,5.6,678.0,93.0
itzulia-basque-country,38.063 km/h,Otsondo,location/Col-de-otxondo,7.8,6.0,571.0,182.0
itzulia-basque-country,38.063 km/h,Zuarrarte,location/alto-de-zuarrarrate,6.8,3.4,794.0,105.0
itzulia-basque-country,38.063 km/h,Lizarrusti,location/alto-de-lizarrusti,6.3,5.2,630.0,18.0
itzulia-basque-country,38.063 km/h,Opakua,location/alto-de-opakua,6.2,6.2,1019.0,117.0
itzulia-basque-country,38.063 km/h,Urkiola,location/puerto-de-urkiola,5.6,9.1,707.0,88.0
itzulia-basque-country,38.063 km/h,Azurki,location/azurki,5.1,7.4,669.0,113.0
itzulia-basque-country,38.063 km/h,Krabelin,location/krabelin,5.0,9.5,576.0,68.0
itzulia-basque-country,38.063 km/h,Urkaregi,location/urkaregi,5.0,4.6,341.0,13.0
itzulia-basque-country,38.063 km/h,Uitzi,location/alto-de-uitzi,4.4,7.3,799.0,121.0
itzulia-basque-country,38.063 km/h,Izua,location/alto-de-izua,4.1,9.0,540.0,28.0
itzulia-basque-country,38.063 km/h,Muniketagaina,location/alto-de-muniketagane,3.4,7.3,376.0,38.0
itzulia-basque-country,38.063 km/h,Muniketagaina,location/alto-de-muniketagane,3.4,7.3,376.0,13.0
itzulia-basque-country,38.063 km/h,Trabakua,location/trabakua,3.3,6.9,396.0,46.0
itzulia-basque-country,38.063 km/h,Olaeta,location/olaeta,3.2,5.7,757.0,41.0
itzulia-basque-country,38.063 km/h,Leintz-Gatzaga,location/leintz-gatzaga,3.1,8.5,609.0,8.0
itzulia-basque-country,38.063 km/h,Saint-Ignace,location/saint-ignace,2.7,5.1,155.0,140.0
itzulia-basque-country,38.063 km/h,Elkorrieta,location/elkorrieta,2.6,6.3,186.0,124.0
itzulia-basque-country,38.063 km/h,Untzilla,location/alto-de-untzella,2.4,8.1,477.0,25.0
itzulia-basque-country,38.063 km/h,Olaberria,location/olaberria-irun,1.7,5.0,120.0,6.0
itzulia-basque-country,38.063 km/h,Olaberria,location/alto-de-olaberria,1.7,7.7,301.0,37.0
paris-roubaix,47.802 km/h,,,,,,
amstel-gold-race,42.469 km/h,Camerig,location/camerig,3.9,4.3,282.0,144.0
amstel-gold-race,42.469 km/h,Schweibergerweg,location/schilbergerweg,2.5,4.6,222.0,152.0
amstel-gold-race,42.469 km/h,Eperheide,location/epenheide,2.1,4.7,220.0,118.0
amstel-gold-race,42.469 km/h,Drielandenpunt,location/drielandenpunt,2.1,5.6,305.0,134.0
amstel-gold-race,42.469 km/h,Eyserweg,location/eyserweg,1.7,5.0,193.0,102.0
amstel-gold-race,42.469 km/h,Sibbergrubbe,location/sibbergrubbe,1.6,4.1,148.0,86.0
amstel-gold-race,42.469 km/h,Epenerbaan / Vijlenerbos,location/vijlenerbos,1.5,5.5,287.0,125.0
amstel-gold-race,42.469 km/h,Keerderberg,location/keerderberg,1.5,3.9,125.0,70.0
amstel-gold-race,42.469 km/h,Loorberg,location/loorberg,1.2,5.7,212.0,164.0
amstel-gold-race,42.469 km/h,Loorberg,location/loorberg,1.2,5.6,212.0,52.0
amstel-gold-race,42.469 km/h,Keutenberg,location/keutenberg,1.1,6.8,153.0,28.0
amstel-gold-race,42.469 km/h,Gulperberg,location/gulperberg,1.0,5.2,150.0,45.0
amstel-gold-race,42.469 km/h,St. Remigiusstraat / Huls,location/sint-remigiusstraat,1.0,6.7,207.0,99.0
amstel-gold-race,42.469 km/h,Geulhemmerberg,location/geulhemmerberg,1.0,5.8,119.0,78.0
