name,birth,weight,one_day_races,gc,time_trial,sprint,climber,hills,years pro
tadej-pogačar,1998-9-21,66.0,6827,6594,2623,227,8133,3510,10
remco-evenepoel,2000-1-25,61.0,3084,3994,3845,120,3874,1276,8
jasper-philipsen,1998-3-2,75.0,4962,574,154,5732,185,2358,10
ben-o-connor,1995-11-25,67.0,741,3432,596,53,3008,874,10
mathieu-van-der-poel,1995-1-19,75.0,7716,1124,968,1672,1072,3448,13
marc-hirschi,1998-8-24,61.0,4960,1431,334,90,2140,2240,10
jonas-vingegaard,1996-12-10,58.0,320,4836,1964,34,4240,1461,12
primož-roglič,1989-10-29,65.0,1877,8104,5542,168,7964,2890,13
biniam-girmay,2000-4-2,70.0,2823,78,112,1184,238,1861,7
wout-van-aert,1994-9-15,78.0,7524,1171,3014,2188,2044,4410,12
enric-mas,1995-1-7,61.0,988,4895,666,73,5612,1358,13
mads-pedersen,1995-12-18,70.0,4517,1507,1697,2832,368,2994,13
matteo-jorgenson,1999-7-1,69.0,922,1892,494,138,1468,1095,10
maxim-van-gils,1999-11-25,63.0,1664,503,117,72,1164,1194,9
arnaud-de-lie,2002-3-16,78.0,3759,276,1,1570,119,1472,6
tim-merlier,1992-10-30,76.0,4023,114,3,5174,4,462,15
jonathan-milan,2000-10-1,87.0,691,115,335,1356,62,1062,8
mattias-skjelmose-jensen,2000-9-26,65.0,1156,2225,1084,126,2108,1308,8
carlos-rodríguez-cano,2001-2-2,67.0,496,2293,423,14,2271,502,7
richard-carapaz,1993-5-29,62.0,1262,3820,551,189,4454,1554,14
brandon-mcnulty,1998-4-2,69.0,991,2228,2109,54,1902,973,12
adam-yates,1992-8-7,58.0,2349,6944,1213,150,7130,1968,17
mikel-landa,1989-12-13,61.0,1017,6401,298,121,7045,1186,18
juan-ayuso-pesquera,2002-9-16,65.0,1082,2055,1143,12,1954,767,6
joão-almeida,1998-8-5,63.0,431,4454,2510,127,4060,1155,10
aleksandr-vlasov,1996-4-23,68.0,1438,3637,1002,96,4014,1398,15
toms-skujiņš,1991-6-15,70.0,2760,948,353,738,1296,1300,14
stefan-küng,1993-11-16,83.0,2895,1659,5701,598,526,1748,12
thomas-pidcock,1999-7-30,58.0,2494,1141,137,370,1786,1632,9
michael-matthews,1990-9-26,72.0,7618,867,1678,3312,2189,7446,17
romain-bardet,1990-11-9,65.0,3396,6406,401,46,8257,1982,17
olav-kooij,2001-10-17,72.0,1707,565,72,2776,48,882,7
jhonatan-narváez,1997-3-4,65.0,1112,1223,23,262,834,1282,9
daniel-felipe-martínez,1996-4-25,63.0,754,2815,1224,34,2410,736,11
lennert-van-eetvelt,2001-7-17,63.0,550,954,103,12,1064,421,7
kaden-groves,1998-12-23,76.0,526,246,357,1338,175,1829,9
julian-alaphilippe,1992-6-11,62.0,6632,2738,1430,774,5261,4604,16
antonio-tiberi,2001-6-24,62.0,158,1107,776,2,994,638,7
corbin-strong,2000-4-30,63.0,1385,357,30,313,371,1603,7
bénoît-cosnefroy,1995-10-17,65.0,3656,964,252,272,936,1681,13
tim-wellens,1991-5-10,71.0,4119,4296,1406,347,2395,2854,18
valentin-madouas,1996-7-12,71.0,3176,1207,93,146,1628,1756,12
alberto-bettiol,1993-10-29,69.0,2482,951,1000,140,978,2090,15
nils-politt,1994-3-6,80.0,2233,1020,1244,577,152,1439,14
christophe-laporte,1992-12-11,76.0,4166,950,901,2068,368,1738,14
stephen-williams,1996-6-9,59.0,437,811,8,41,424,784,11
pello-bilbao,1990-2-25,60.0,1605,4731,1135,450,4848,2140,16
alex-aranburu,1995-9-19,63.0,2204,928,301,414,1675,2420,12
diego-ulissi,1989-7-15,63.0,5305,5542,1117,911,4608,4522,
alexander-kristoff,1987-7-5,78.0,11237,2254,301,10000,480,5252,20
dylan-groenewegen,1993-6-21,70.0,4051,385,15,7890,38,985,15
david-gaudu,1996-10-10,53.0,1762,3111,160,17,4034,1200,12
oscar-onley,2002-10-13,62.0,178,1325,127,5,844,690,6
romain-grégoire,1926-5-30,,0,3,0,0,0,0,4
axel-zingle,1998-12-18,67.0,1700,591,191,409,254,968,9
florian-lipowitz,2000-9-21,68.0,81,970,225,4,749,185,5
isaac-del-toro,2003-11-27,64.0,353,688,201,1,598,364,4
jordi-meeus,1998-7-1,80.0,1880,86,60,1644,32,729,10
geraint-thomas,1986-5-25,71.0,1272,6399,5423,909,4203,2692,18
laurence-pithie,2002-7-17,74.0,1093,111,65,558,36,566,5
giulio-ciccone,1994-12-20,58.0,1296,1763,117,2,3434,965,11
lenny-martinez,2003-7-11,52.0,776,769,165,4,1122,304,5
egan-bernal,1997-1-13,60.0,933,4431,596,120,3890,1157,9
magnus-cort-nielsen,1993-1-16,68.0,1477,1453,825,2010,1140,2594,14
tiesj-benoot,1994-3-11,72.0,5123,1912,83,932,2621,2942,13
luca-mozzato,1998-2-15,67.0,1946,141,0,1184,6,771,7
filippo-ganna,1996-7-25,83.0,959,981,5698,302,298,1140,11
mathias-vacek,2002-6-12,75.0,469,404,564,172,190,319,6
derek-gee,1997-8-3,72.0,126,695,586,46,700,354,4
neilson-powless,1996-9-3,67.0,2317,1569,891,340,1586,974,10
roger-adria,1998-4-18,64.0,1057,329,43,46,680,692,9
thymen-arensman,1999-12-4,68.0,62,1715,1247,28,1370,502,7
matej-mohorič,1994-10-19,72.0,2981,2331,352,696,1610,2820,12
ion-izagirre,1989-2-4,60.0,2002,5413,3016,172,4539,2283,15
santiago-buitrago-sanchez,1999-9-26,59.0,433,1648,190,43,1761,653,5
max-poole,2003-3-1,,0,842,145,6,626,321,5
jonas-abrahamsen,1995-9-20,78.0,622,149,11,274,86,242,13
pavel-sivakov,1997-7-11,70.0,1013,2585,506,88,1998,628,11
kévin-vauquelin,2001-4-26,69.0,514,1127,792,64,478,672,7
paul-lapeira,2000-5-25,64.0,701,96,32,118,134,396,8
matteo-trentin,1989-8-2,74.0,5446,1019,334,3108,1014,4109,
kevin-vermaerke,2000-10-16,67.0,545,591,11,14,469,524,8
emilien-jeannière,1998-9-26,,586,263,27,560,77,403,10
mauri-vansevenant,1999-6-1,60.0,694,810,45,0,948,593,7
attila-valter,1998-6-12,65.0,719,1111,287,72,1210,556,7
soren-waerenskjold,2000-3-12,92.0,784,625,810,549,28,270,9
magnus-sheffield,2002-4-19,73.0,628,1112,1217,53,478,876,6
simon-yates,1992-8-7,58.0,1188,5405,1200,302,5926,1728,
gerben-thijssen,1998-6-21,74.0,1842,46,21,2313,2,45,10
ilan-van-wilder,2000-5-14,64.0,525,1534,776,22,1212,672,8
joseph-blackmore,2003-2-23,66.0,187,434,75,20,236,340,6
marc-soler,1993-11-22,68.0,295,2470,774,30,2904,1224,10
ben-healy,2000-9-11,65.0,1012,499,470,40,785,435,8
michael-storer,1997-2-28,63.0,609,1537,121,0,1505,426,10
jan-tratnik,1990-2-23,67.0,1227,868,1756,850,587,834,16
alex-baudin,2001-5-25,66.0,268,475,79,5,264,310,7
alec-segaert,2003-1-16,79.0,298,288,424,64,31,99,5
vincenzo-albanese,1996-11-12,70.0,1341,393,53,554,561,1448,8
pascal-ackermann,1994-1-17,78.0,3481,355,68,3474,126,1925,14
jasper-stuyven,1992-4-17,78.0,4837,1314,284,2159,697,3432,15
